Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"J1","Conn_02x25_Odd_Even","PinHeader_2x25_P2.54mm_Vertical",96.000000,-43.000000,0.000000,top
"J2","Conn_02x25_Odd_Even","PinHeader_2x25_P2.54mm_Vertical",182.000000,-43.000000,0.000000,top
"U1","X1611WVS-98-9TV01","CONN-SMD_98P-P1.00-V_3133",109.500000,-73.500000,90.000000,top
"U2","X1611WVS-98-9TV01","CONN-SMD_98P-P1.00-V_3133",121.500000,-73.500000,90.000000,top
"U3","X1611WVS-98-9TV01","CONN-SMD_98P-P1.00-V_3133",133.500000,-73.500000,90.000000,top
"U4","X1611WVS-98-9TV01","CONN-SMD_98P-P1.00-V_3133",145.500000,-73.500000,90.000000,top
"U5","X1611WVS-98-9TV01","CONN-SMD_98P-P1.00-V_3133",157.500000,-73.500000,90.000000,top
"U6","X1611WVS-98-9TV01","CONN-SMD_98P-P1.00-V_3133",169.500000,-73.500000,90.000000,top
