Designator,Value,Package,Mid X,Mid Y,Rotation,Layer
"D21","WS2812","LED_WS2812C-2020",140.970000,-95.250000,0.000000,top
"D22","WS2812","LED_WS2812C-2020",145.415000,-95.250000,0.000000,top
"D23","WS2812","LED_WS2812C-2020",149.860000,-95.250000,0.000000,top
"D24","WS2812","LED_WS2812C-2020",154.305000,-95.250000,0.000000,top
"D25","WS2812","LED_WS2812C-2020",123.190000,-99.060000,0.000000,top
"D26","WS2812","LED_WS2812C-2020",127.635000,-99.060000,0.000000,top
"D27","WS2812","LED_WS2812C-2020",132.080000,-99.060000,0.000000,top
"D28","WS2812","LED_WS2812C-2020",136.525000,-99.060000,0.000000,top
"D29","WS2812","LED_WS2812C-2020",140.970000,-99.060000,0.000000,top
"D30","WS2812","LED_WS2812C-2020",145.415000,-99.060000,0.000000,top
"D31","WS2812","LED_WS2812C-2020",149.860000,-99.060000,0.000000,top
"D32","WS2812","LED_WS2812C-2020",154.305000,-99.060000,0.000000,top
"D33","WS2812","LED_WS2812C-2020",123.190000,-102.870000,0.000000,top
"D34","WS2812","LED_WS2812C-2020",127.635000,-102.870000,0.000000,top
"D35","WS2812","LED_WS2812C-2020",132.080000,-102.870000,0.000000,top
"D36","WS2812","LED_WS2812C-2020",136.525000,-102.870000,0.000000,top
"D37","WS2812","LED_WS2812C-2020",140.970000,-102.870000,0.000000,top
"D38","WS2812","LED_WS2812C-2020",145.415000,-102.870000,0.000000,top
"D39","WS2812","LED_WS2812C-2020",149.860000,-102.870000,0.000000,top
"D40","WS2812","LED_WS2812C-2020",154.305000,-102.870000,0.000000,top
"D41","WS2812","LED_WS2812C-2020",123.190000,-106.680000,0.000000,top
"D42","WS2812","LED_WS2812C-2020",127.635000,-106.680000,0.000000,top
"D43","WS2812","LED_WS2812C-2020",132.080000,-106.680000,0.000000,top
"D44","WS2812","LED_WS2812C-2020",136.525000,-106.680000,0.000000,top
"D45","WS2812","LED_WS2812C-2020",140.970000,-106.680000,0.000000,top
"D46","WS2812","LED_WS2812C-2020",145.415000,-106.680000,0.000000,top
"D47","WS2812","LED_WS2812C-2020",149.860000,-106.680000,0.000000,top
"D48","WS2812","LED_WS2812C-2020",154.305000,-106.680000,0.000000,top
"D49","WS2812","LED_WS2812C-2020",123.190000,-110.490000,0.000000,top
"D50","WS2812","LED_WS2812C-2020",127.635000,-110.490000,0.000000,top
"D51","WS2812","LED_WS2812C-2020",132.080000,-110.490000,0.000000,top
"D52","WS2812","LED_WS2812C-2020",136.525000,-110.490000,0.000000,top
"D53","WS2812","LED_WS2812C-2020",140.970000,-110.490000,0.000000,top
"D54","WS2812","LED_WS2812C-2020",145.415000,-110.490000,0.000000,top
"D55","WS2812","LED_WS2812C-2020",149.860000,-110.490000,0.000000,top
"D56","WS2812","LED_WS2812C-2020",154.305000,-110.490000,0.000000,top
"D57","WS2812","LED_WS2812C-2020",123.190000,-114.300000,0.000000,top
"D58","WS2812","LED_WS2812C-2020",127.635000,-114.300000,0.000000,top
"D59","WS2812","LED_WS2812C-2020",132.080000,-114.300000,0.000000,top
"D60","WS2812","LED_WS2812C-2020",136.525000,-114.300000,0.000000,top
"D61","WS2812","LED_WS2812C-2020",140.970000,-114.300000,0.000000,top
"D62","WS2812","LED_WS2812C-2020",145.415000,-114.300000,0.000000,top
"D63","WS2812","LED_WS2812C-2020",149.860000,-114.300000,0.000000,top
"D64","WS2812","LED_WS2812C-2020",154.305000,-114.300000,0.000000,top
